,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
101,3,0.6111111111111112,1.0,1.0,1.0,3.7760617079506673,5.164718980446022,4.06400076274301
102,3,0.6111111111111112,0.75,0.75,0.75,3.7572565975972214,5.80743723375707,3.800985917322412
103,3,0.6111111111111112,0.875,0.75,1.0,3.6101871132967824,5.129687706299286,3.9081367351489202
104,3,0.6111111111111112,,,1.0,,,4.259727466976834
105,3,0.6111111111111112,1.0,1.0,1.0,3.6543348660834516,5.238937861798293,3.726519095304594
106,3,0.6111111111111112,0.75,0.75,1.0,3.7752138199785064,5.278214334295067,4.109051529260077
107,3,0.6111111111111112,1.0,,1.0,3.9447643652419835,,4.435312167525522
108,3,0.6111111111111112,0.5,0.75,0.5,3.6096146829999047,5.267600687559951,3.651033963108941
109,3,0.6111111111111112,0.75,1.0,1.0,3.742288207582706,5.433881332305134,3.865946278754503
110,3,0.6111111111111112,1.0,,1.0,3.6792897995736036,,3.799550129984671
111,3,0.6111111111111112,1.0,,1.0,3.537210908437907,,4.099551352672021
112,3,0.6111111111111112,0.75,,0.75,3.621665346198866,,3.960018002197755
113,3,0.6111111111111112,1.0,1.0,1.0,3.6254604826996335,5.1058529537782835,3.7832873150772315
114,3,0.6111111111111112,,1.0,,,5.23265544907041,
115,3,0.6111111111111112,,,,,,
116,3,0.6111111111111112,1.0,1.0,1.0,3.715577024311437,5.2239947541504375,4.104533144208347
117,3,0.6111111111111112,1.0,,1.0,3.763286554754548,,4.191119279732032
118,3,0.6111111111111112,1.0,,1.0,3.9602740465441912,,4.009831961745752
119,3,0.6111111111111112,1.0,,,3.634062992000362,,
120,3,0.6111111111111112,,,,,,
121,3,0.6111111111111112,,,,,,
122,3,0.6111111111111112,,,,,,
123,3,0.6111111111111112,0.75,,0.75,3.597239733134074,,4.155257065491918
124,3,0.6111111111111112,,,1.0,,,4.40061418454524
125,3,0.6111111111111112,1.0,1.0,1.0,3.672469875612694,5.148151940273579,3.9979717524557756
126,3,0.6111111111111112,,,,,,
127,3,0.6111111111111112,0.75,1.0,0.75,3.6433691697234223,5.492250927242856,3.7697543172287657
128,3,0.6111111111111112,1.0,1.0,1.0,3.907963746156208,5.746720482463494,3.9078660319386627
129,3,0.6111111111111112,,0.75,1.0,,5.102361156712776,4.319845798605571
130,3,0.6111111111111112,1.0,,1.0,3.8770600288823536,,4.080071288148192
131,3,0.6111111111111112,0.75,,1.0,3.4280704518173275,,3.6288412150261333
132,3,0.6111111111111112,0.5,0.75,1.0,3.662711227203636,5.244640824203183,4.234462727040626
133,3,0.6111111111111112,,,,,,
134,3,0.6111111111111112,1.0,,0.75,3.5963338610674174,,4.084214415044932
135,3,0.6111111111111112,1.0,1.0,1.0,3.943675484358722,5.282236790123345,4.081448795894588
136,3,0.6111111111111112,0.875,0.75,0.8333333333333334,3.545647887908952,4.6716369938393205,3.66684239936554
137,3,0.6111111111111112,0.75,,1.0,3.691953541517355,,3.945740558690388
138,3,0.6111111111111112,1.0,,1.0,3.8107022059034117,,4.192526026029443
139,3,0.6111111111111112,1.0,0.9166666666666666,1.0,3.7699321019634526,5.561999172611057,4.094071046066843
140,3,0.6111111111111112,,,1.0,,,4.086977510250022
141,3,0.6111111111111112,1.0,,0.9166666666666666,3.714180714528493,,4.090893103866038
142,3,0.6111111111111112,,,,,,
143,3,0.6111111111111112,1.0,1.0,1.0,4.001877354403183,5.342221326445472,4.341324786154982
144,3,0.6111111111111112,,,,,,
145,3,0.6111111111111112,,,,,,
146,3,0.6111111111111112,1.0,1.0,1.0,3.8393122454932356,5.3105981669490365,4.276554071151133
147,3,0.6111111111111112,0.75,,0.875,3.597444911802658,,4.053637208415635
148,3,0.6111111111111112,1.0,,1.0,3.827008610991066,,4.328047949239879
149,3,0.6111111111111112,,,0.75,,,4.39819866972943
150,3,0.6111111111111112,,,,,,
151,3,0.6111111111111112,,,1.0,,,4.373071417612129
152,3,0.6111111111111112,1.0,,1.0,3.455848664377671,,3.623060172891523
153,3,0.6111111111111112,1.0,,1.0,3.666719308112762,,3.7647127259884074
154,3,0.6111111111111112,1.0,1.0,1.0,3.7388794866929533,5.28544502337282,4.017727479050145
155,3,0.6111111111111112,1.0,,1.0,3.6748455053296025,,3.958085154810771
156,3,0.6111111111111112,0.75,1.0,0.875,3.8173095845576133,5.415655126992707,4.13470517789642
157,3,0.6111111111111112,0.75,1.0,,3.633428935425756,5.339723422700959,
158,3,0.6111111111111112,1.0,0.875,1.0,3.7567909644758806,5.1617470826773415,4.048110273061688
159,3,0.6111111111111112,1.0,1.0,1.0,3.5434338181504623,5.149361846329016,4.193527596969453
160,3,0.6111111111111112,0.75,,,3.840183491887724,,
161,3,0.6111111111111112,1.0,1.0,1.0,3.840449152821336,5.254857116018214,3.9327524986095606
162,3,0.6111111111111112,,,,,,
163,3,0.6111111111111112,,,,,,
164,3,0.6111111111111112,0.75,,0.75,3.6908032765869145,,3.996105082347542
165,3,0.6111111111111112,,,,,,
166,3,0.6111111111111112,1.0,1.0,1.0,3.7232217314304132,4.836743518758723,4.012964693085315
167,3,0.6111111111111112,0.5,,0.75,3.5541597522592454,,4.0917045037652695
168,3,0.6111111111111112,,,1.0,,,4.439061201392131
